"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000102893",981.220040612851,-0.428468870943093,0.0636620531411953,-6.7303652615915,1.69237702315412e-11,6.8385006454314e-11,"PHKB","5257","phosphorylase kinase regulatory subunit beta"
"ENSG00000174738",1110.86833103711,0.455949157093807,0.0677800457659856,6.72689361509133,1.73323364141161e-11,7.00146265974118e-11,"NR1D2","9975","nuclear receptor subfamily 1 group D member 2"
"ENSG00000147459",865.07914404731,-0.473733502463962,0.0704345419286311,-6.72586900535223,1.74547543300218e-11,7.0487700520325e-11,"DOCK5","80005","dedicator of cytokinesis 5"
"ENSG00000075856",614.288548202618,-0.516034319969503,0.0767243296956253,-6.72582376433491,1.74601790909501e-11,7.04881758924011e-11,"SART3","9733","spliceosome associated factor 3, U4/U6 recycling protein"
"ENSG00000013503",297.127385534835,-0.723921283740604,0.107668260198862,-6.72362757978563,1.77255139181124e-11,7.1537610410322e-11,"POLR3B","55703","RNA polymerase III subunit B"
"ENSG00000078902",989.942544797363,0.453300345872108,0.0674278734311334,6.7227442125263,1.78333489590453e-11,7.19509540929647e-11,"TOLLIP","54472","toll interacting protein"
"ENSG00000149201",28.517786969296,-2.60401237021008,0.387405577556835,-6.7216697979214,1.7965371719816e-11,7.24616055823249e-11,"CCDC81","60494","coiled-coil domain containing 81"
"ENSG00000020129",1527.85278046409,0.459303374434242,0.0683333066224304,6.72151542398031,1.79844194655872e-11,7.25164114577807e-11,"NCDN","23154","neurochondrin"
"ENSG00000154639",104.894984729737,1.21854544706512,0.181324548205598,6.72024532322812,1.81418859225288e-11,7.31291438006155e-11,"CXADR","1525","CXADR Ig-like cell adhesion molecule"
"ENSG00000073417",905.464482276684,0.45420276770122,0.0675932072421681,6.71965107490661,1.82160233513187e-11,7.34057106044342e-11,"PDE8A","5151","phosphodiesterase 8A"
"ENSG00000175792",711.85520588727,-0.491524066068789,0.0731717226356603,-6.71740459789646,1.8498980117477e-11,7.45233405885135e-11,"RUVBL1","8607","RuvB like AAA ATPase 1"
"ENSG00000116957",311.720713227037,-0.699075718366777,0.104084820805669,-6.71640411114301,1.86263781353107e-11,7.50138127329282e-11,NA,NA,NA
"ENSG00000159263",144.648412847616,-0.992967526266349,0.147870365238135,-6.71512188846795,1.87909078987394e-11,7.56534824828907e-11,"SIM2","6493","SIM bHLH transcription factor 2"
"ENSG00000106268",158.422140180275,-0.957167290594498,0.142558269952441,-6.71421791884693,1.89077561134751e-11,7.61008535452049e-11,"NUDT1","4521","nudix hydrolase 1"
"ENSG00000120685",718.820949948012,0.517709914507904,0.0771238797758078,6.71270579245806,1.91048077449496e-11,7.68706623654713e-11,"PROSER1","80209","proline and serine rich 1"
"ENSG00000151881",179.590700780149,-0.908839669987306,0.135407772521203,-6.71187224385507,1.92142892728967e-11,7.72877619995803e-11,"TMEM267","64417","transmembrane protein 267"
"ENSG00000139679",76.4315166709102,1.55256977517179,0.231320352628459,6.71177333740921,1.92273207315137e-11,7.7316764745978e-11,"LPAR6","10161","lysophosphatidic acid receptor 6"
"ENSG00000133466",209.068703013499,0.840018069655715,0.125194050501428,6.70972834804265,1.94987065761939e-11,7.83843283126537e-11,"C1QTNF6","114904","C1q and TNF related 6"
"ENSG00000143390",396.102485470007,-0.613105880496074,0.0913945465232361,-6.70834205999587,1.96848069752986e-11,7.91085041591275e-11,"RFX5","5993","regulatory factor X5"
"ENSG00000128585",1162.08185328466,0.427608182897985,0.0637538088263207,6.70717861050284,1.98423340238416e-11,7.97174472185918e-11,"MKLN1","4289","muskelin 1"
"ENSG00000243156",466.91940525718,-0.585301299515504,0.0873738526259762,-6.69881528540375,2.1011598098561e-11,8.43894907605345e-11,"MICAL3","57553","microtubule associated monooxygenase, calponin and LIM domain containing 3"
"ENSG00000048991",677.309994368857,-0.515943769979944,0.0770249322159314,-6.69839953294018,2.1071451258773e-11,8.4604297345533e-11,"R3HDM1","23518","R3H domain containing 1"
"ENSG00000174442",359.549991488371,-0.682306316146565,0.101867323919192,-6.69798999223558,2.11305733442401e-11,8.48160396368077e-11,"ZWILCH","55055","zwilch kinetochore protein"
"ENSG00000099998",67.5509119148484,1.55252312623361,0.231874013416855,6.69554601378525,2.14867821373693e-11,8.61998819278234e-11,"GGT5","2687","gamma-glutamyltransferase 5"
"ENSG00000040633",1064.23692766604,0.465657101000197,0.0695474014858985,6.69553557791249,2.14883156951531e-11,8.61998819278234e-11,"PHF23","79142","PHD finger protein 23"
"ENSG00000076928",1132.80172134474,0.444179610311253,0.06635177672109,6.69431373598878,2.16686088026988e-11,8.68968786586491e-11,"ARHGEF1","9138","Rho guanine nucleotide exchange factor 1"
"ENSG00000198951",544.165333291279,-0.542286373907068,0.0810583802648204,-6.69007167593776,2.23061315756043e-11,8.94265136091688e-11,"NAGA","4668","alpha-N-acetylgalactosaminidase"
"ENSG00000127990",299.535448700655,-0.740663767017064,0.110740683756989,-6.68827157183163,2.25821787195741e-11,9.0505883450025e-11,"SGCE","8910","sarcoglycan epsilon"
"ENSG00000128609",605.314336561212,0.537388245835846,0.0803542701345763,6.68773725323912,2.26647585749952e-11,9.08094489873563e-11,"NDUFA5","4698","NADH:ubiquinone oxidoreductase subunit A5"
"ENSG00000136827",1313.63333798617,0.394585103371552,0.0590119836807856,6.68652498628053,2.28532143304138e-11,9.15369097516754e-11,"TOR1A","1861","torsin family 1 member A"
"ENSG00000106603",430.571429606603,-0.597190591207196,0.0893338087877662,-6.68493372566219,2.31029173791721e-11,9.25091795689369e-11,"COA1","55744","cytochrome c oxidase assembly factor 1"
"ENSG00000112655",3824.28613103178,0.309034810367146,0.0462348725049329,6.68401995342745,2.32475131467042e-11,9.30601174245105e-11,"PTK7","5754","protein tyrosine kinase 7 (inactive)"
"ENSG00000204387",1787.35743345708,-0.354221009857746,0.0529971600562269,-6.68377342261243,2.32866758216209e-11,9.31888003202077e-11,"SNHG32","50854","small nucleolar RNA host gene 32"
"ENSG00000161513",366.942556305838,0.718039185243217,0.107500130160692,6.67942619390213,2.39879610518148e-11,9.5966294786206e-11,"FDXR","2232","ferredoxin reductase"
"ENSG00000119185",1094.93206515293,-0.408611359091385,0.0611830154468388,-6.67850965022185,2.41384334226375e-11,9.65391968441649e-11,"ITGB1BP1","9270","integrin subunit beta 1 binding protein 1"
"ENSG00000038210",251.696110831018,-0.816409892450181,0.122290894856254,-6.67596629667177,2.45608413667144e-11,9.81990051272428e-11,"PI4K2B","55300","phosphatidylinositol 4-kinase type 2 beta"
"ENSG00000138381",613.734742102503,-0.551614351526115,0.0826304905537105,-6.6756756232442,2.46095756274175e-11,9.8364244202034e-11,"ASNSD1","54529","asparagine synthetase domain containing 1"
"ENSG00000185347",55.7137884935293,-1.64547230652013,0.246516212640555,-6.67490502508811,2.47392325811872e-11,9.88527337976317e-11,"TEDC1","283643","tubulin epsilon and delta complex 1"
"ENSG00000147140",6569.38326219286,0.276011130310185,0.0413545587727435,6.67426127859215,2.48480585641235e-11,9.92577184507335e-11,"NONO","4841","non-POU domain containing octamer binding"
"ENSG00000137075",479.321704286059,0.612376870669034,0.0917715429828536,6.67284052076414,2.50899001796536e-11,1.00193642268839e-10,"RNF38","152006","ring finger protein 38"
"ENSG00000170876",1611.59215044051,-0.372285818879573,0.0557959422705578,-6.67227407101287,2.51869624766032e-11,1.00551017617747e-10,"TMEM43","79188","transmembrane protein 43"
"ENSG00000136122",40.5636814963845,-2.01977575065036,0.302732933415543,-6.67180715313168,2.52672460724259e-11,1.00841214643618e-10,"BORA","79866","BORA aurora kinase A activator"
"ENSG00000118564",551.366204764585,-0.546523883120719,0.0819296780538789,-6.67064604795971,2.54679783996558e-11,1.01585919779834e-10,"FBXL5","26234","F-box and leucine rich repeat protein 5"
"ENSG00000188295",113.621116526792,1.19658145723815,0.179380325213999,6.6706393569676,2.54691396526763e-11,1.01585919779834e-10,"ZNF669","79862","zinc finger protein 669"
"ENSG00000186866",2069.42356458995,-0.355316322105873,0.0532748325301351,-6.66949674416878,2.56682075179669e-11,1.02349184104964e-10,"POFUT2","23275","protein O-fucosyltransferase 2"
"ENSG00000141027",2610.75796117218,-0.325100393836359,0.048759504820664,-6.66742607481492,2.60328511982776e-11,1.03772007687732e-10,"NCOR1","9611","nuclear receptor corepressor 1"
"ENSG00000152291",8380.80004963164,0.251391871619813,0.0377057232100554,6.6672072623917,2.60716788877806e-11,1.03895601256376e-10,"TGOLN2","10618","trans-golgi network protein 2"
"ENSG00000144426",675.155525868534,0.514668626655227,0.0771977142791484,6.6668894469359,2.61281753868069e-11,1.04089509744322e-10,"NBEAL1","65065","neurobeachin like 1"
"ENSG00000127022",17938.8997928596,0.238683378870229,0.0358103441761316,6.66520761979487,2.64291464559332e-11,1.05256948494064e-10,"CANX","821","calnexin"
"ENSG00000158470",1137.89051618638,0.461722227252468,0.0693387966466089,6.65893049176603,2.75827334481867e-11,1.09818305053602e-10,"B4GALT5","9334","beta-1,4-galactosyltransferase 5"
"ENSG00000138193",94.5388558580424,-1.26343672600753,0.189753376195788,-6.65830959815922,2.7699482230951e-11,1.10250081807459e-10,"PLCE1","51196","phospholipase C epsilon 1"
"ENSG00000183696",302.544369180157,0.711664324718702,0.106898403270465,6.65738966107951,2.78733509355077e-11,1.1090888170324e-10,"UPP1","7378","uridine phosphorylase 1"
"ENSG00000196358",111.430643835556,1.13449356257194,0.170480874224321,6.65466767303853,2.83940888301897e-11,1.12947076323025e-10,"NTNG2","84628","netrin G2"
"ENSG00000196517",275.68204662354,-0.777625297836256,0.116874688371337,-6.6534962246536,2.86211160374019e-11,1.13816066828974e-10,"SLC6A9","6536","solute carrier family 6 member 9"
"ENSG00000171724",1191.13351313515,0.420313701415633,0.0632191838146537,6.64851515084268,2.96064509765713e-11,1.17699156501293e-10,"VAT1L","57687","vesicle amine transport 1 like"
"ENSG00000156587",325.246434390786,-0.684447363416106,0.103008084135525,-6.64459852020544,3.04044682388727e-11,1.20835471917626e-10,"UBE2L6","9246","ubiquitin conjugating enzyme E2 L6"
"ENSG00000127527",568.102150541332,-0.529272028562076,0.0796579332844407,-6.64431032464983,3.0464012898323e-11,1.21035901679786e-10,"EPS15L1","58513","epidermal growth factor receptor pathway substrate 15 like 1"
"ENSG00000166444",973.971173278494,0.436195685627045,0.0656535852372506,6.64389742084574,3.05495227249641e-11,1.21339342354358e-10,"DENND2B","6764","DENN domain containing 2B"
"ENSG00000122483",118.500271298439,-1.07609380071614,0.161973685495683,-6.64363348542086,3.06043051472822e-11,1.21520592217101e-10,"CCDC18","343099","coiled-coil domain containing 18"
"ENSG00000170445",1508.89446919084,-0.379662036200712,0.0571570124152047,-6.64244018638936,3.08531886402999e-11,1.22472221016277e-10,"HARS1","3035","histidyl-tRNA synthetase 1"
"ENSG00000272674",55.1581269344612,1.71584037498283,0.25847535968684,6.63831313383869,3.1729325872879e-11,1.25912430906357e-10,"PCDHB16","57717","protocadherin beta 16"
"ENSG00000167635",1813.16654837825,0.366031584193203,0.055144671950356,6.63766001768445,3.18701902201217e-11,1.26433651882813e-10,"ZNF146","7705","zinc finger protein 146"
"ENSG00000140941",2796.57578085765,0.316973596317121,0.0477798515305423,6.63404314085199,3.2661429978002e-11,1.29533924445453e-10,"MAP1LC3B","81631","microtubule associated protein 1 light chain 3 beta"
"ENSG00000155744",288.161324426312,0.716028974677512,0.107934061081648,6.63394824119389,3.26824472628911e-11,1.29578586431558e-10,"HYCC2","285172","hyccin PI4KA lipid kinase complex subunit 2"
"ENSG00000112276",537.23020057251,0.563396282390725,0.0849472838581168,6.63230484604708,3.30485137748153e-11,1.30990856447955e-10,"BVES","11149","blood vessel epicardial substance"
"ENSG00000175416",1400.56601761521,-0.377499250318656,0.056920410212694,-6.63205428260369,3.31046782175722e-11,1.31174324607934e-10,"CLTB","1212","clathrin light chain B"
"ENSG00000152779",20.4758516261274,-4.15847951363731,0.627063083217344,-6.63167650103227,3.31895355689407e-11,1.31471342507209e-10,"SLC16A12","387700","solute carrier family 16 member 12"
"ENSG00000112773",653.976718828251,0.559660737164116,0.0844050562767649,6.63065415570584,3.3420243872203e-11,1.3234576002105e-10,"TENT5A","55603","terminal nucleotidyltransferase 5A"
"ENSG00000126785",382.605741699831,-0.64267424008137,0.0969399943633646,-6.62960880389992,3.36577666403284e-11,1.33246633835124e-10,"RHOJ","57381","ras homolog family member J"
"ENSG00000183691",73.8466934502226,-1.41013059859334,0.212746025346191,-6.62823475220605,3.39724903015005e-11,1.34452507802303e-10,"NOG","9241","noggin"
"ENSG00000117533",314.531284380906,0.704526532586867,0.106314287414286,6.62682833814673,3.42976086789663e-11,1.3569879013227e-10,"VAMP4","8674","vesicle associated membrane protein 4"
"ENSG00000106086",413.515269795898,0.617779834866127,0.093237857985978,6.62584757104818,3.4526130997317e-11,1.36562260841681e-10,"PLEKHA8","84725","pleckstrin homology domain containing A8"
"ENSG00000173548",928.170349657586,0.463719365326775,0.0700323172506095,6.62150537825791,3.55559083504421e-11,1.4059350244435e-10,"SNX33","257364","sorting nexin 33"
"ENSG00000090273",1570.28762315523,-0.383289818136507,0.0579143081185389,-6.61822320922819,3.63541823083189e-11,1.43707217089015e-10,"NUDC","10726","nuclear distribution C, dynein complex regulator"
"ENSG00000158270",85.4575129635868,1.30577342574249,0.19731377721453,6.61775089492503,3.64704904696518e-11,1.44124086408187e-10,"COLEC12","81035","collectin subfamily member 12"
"ENSG00000188643",3935.56343349427,-0.310099229193974,0.0468599907582895,-6.61756914962937,3.65153424925205e-11,1.44258411358018e-10,"S100A16","140576","S100 calcium binding protein A16"
"ENSG00000197467",634.027103817574,-0.5276957284045,0.079748182624802,-6.61702512880066,3.66499215523536e-11,1.44747028860648e-10,"COL13A1","1305","collagen type XIII alpha 1 chain"
"ENSG00000162804",341.160660830035,0.655941230042189,0.09918216341228,6.61349992251707,3.75338195935675e-11,1.48193873912534e-10,"SNED1","25992","sushi, nidogen and EGF like domains 1"
"ENSG00000112237",696.827684542953,-0.545288024711796,0.0824639869334103,-6.61243828960291,3.78040729237353e-11,1.49216551730476e-10,"CCNC","892","cyclin C"
"ENSG00000130024",539.321307376924,0.571879598240061,0.0864896088422062,6.61211914235168,3.78856878655435e-11,1.49494268042231e-10,"PHF10","55274","PHD finger protein 10"
"ENSG00000101654",828.940257753865,0.450777366099933,0.0681866038140077,6.61093735258493,3.81894088319244e-11,1.50647973895343e-10,"RNMT","8731","RNA guanine-7 methyltransferase"
"ENSG00000099917",1707.41768903423,-0.399290138465913,0.0604287487037318,-6.60761884088549,3.90550645431553e-11,1.54017033035092e-10,"MED15","51586","mediator complex subunit 15"
"ENSG00000023902",1391.78847203537,0.396160256206872,0.0599560827842233,6.60750732553056,3.9084485047294e-11,1.54087304956414e-10,"PLEKHO1","51177","pleckstrin homology domain containing O1"
"ENSG00000173611",157.133118602883,-0.972175919389975,0.147138024301083,-6.60723782317918,3.91556759871065e-11,1.54322162747997e-10,"SCAI","286205","suppressor of cancer cell invasion"
"ENSG00000163701",25.3560683438015,-2.76711912147762,0.418911807721698,-6.60549325770244,3.96195940083749e-11,1.56104256190815e-10,"IL17RE","132014","interleukin 17 receptor E"
"ENSG00000065000",3925.65712014914,-0.311565997573186,0.0471879142670092,-6.60266516146938,4.03830966903649e-11,1.59065329253092e-10,"AP3D1","8943","adaptor related protein complex 3 subunit delta 1"
"ENSG00000111087",31.0511512484165,-2.52997583270175,0.383246568904951,-6.60143113591502,4.07207414110616e-11,1.60347728260219e-10,"GLI1","2735","GLI family zinc finger 1"
"ENSG00000173320",139.488224151264,1.05556765106765,0.159930912523074,6.60014774139028,4.10748241523413e-11,1.61694076583105e-10,"STOX2","56977","storkhead box 2"
"ENSG00000100299",523.185675518216,0.595858295938018,0.0902892616779577,6.59943701902576,4.12722035033528e-11,1.6242293538712e-10,"ARSA","410","arylsulfatase A"
"ENSG00000198952",2406.10497539496,-0.334584597042755,0.0507002517638902,-6.59926894645233,4.13190155468645e-11,1.62558994221995e-10,"SMG5","23381","SMG5 nonsense mediated mRNA decay factor"
"ENSG00000107223",2366.55729995667,-0.347038182394972,0.0525890505201743,-6.5990577689141,4.13779069572256e-11,1.62742481553411e-10,"EDF1","8721","endothelial differentiation related factor 1"
"ENSG00000137500",611.305671174611,-0.514737314450447,0.0780056338989057,-6.59871971705966,4.14723510137691e-11,1.6306565013762e-10,"CCDC90B","60492","coiled-coil domain containing 90B"
"ENSG00000163541",805.936375441495,-0.452435809656128,0.0685750263801656,-6.59767605699367,4.17652588023482e-11,1.641687385063e-10,"SUCLG1","8802","succinate-CoA ligase GDP/ADP-forming subunit alpha"
"ENSG00000196458",508.682744289133,0.572714960848884,0.0868097480032387,6.59735771641127,4.18550046671972e-11,1.6447283194962e-10,"ZNF605","100289635","zinc finger protein 605"
"ENSG00000143570",1812.84809046505,0.375227042500215,0.0568824769986821,6.5965313449502,4.20888550466671e-11,1.65342849077147e-10,"SLC39A1","27173","solute carrier family 39 member 1"
"ENSG00000097046",45.7472979458488,-1.84332845264241,0.279571233552258,-6.5934124524219,4.2983026728077e-11,1.68805606446576e-10,"CDC7","8317","cell division cycle 7"
"ENSG00000119979",664.552416155575,0.510663158859727,0.0774742174001941,6.5913948665256,4.35713318075863e-11,1.71065453463896e-10,"DENND10","404636","DENN domain containing 10"
"ENSG00000151835",4285.15479496459,-0.383265114289559,0.0581572944101947,-6.59014691409672,4.39391564112939e-11,1.72458592037472e-10,"SACS","26278","sacsin molecular chaperone"
"ENSG00000135424",369.937647746499,-0.654117243082154,0.0992683745630858,-6.58938202585817,4.41661013354949e-11,1.73298126421874e-10,"ITGA7","3679","integrin subunit alpha 7"
"ENSG00000112964",26.8572917152289,-2.68036607095339,0.406784077285706,-6.58916172146734,4.42316788481522e-11,1.73504181471104e-10,"GHR","2690","growth hormone receptor"
"ENSG00000166888",1856.1277494422,0.355402696566978,0.0539409676650471,6.58873416535449,4.43592204811679e-11,1.73953104939732e-10,"STAT6","6778","signal transducer and activator of transcription 6"
"ENSG00000111266",189.060220529817,-0.86074440910167,0.130667947444433,-6.5872650939719,4.48001982682017e-11,1.75630529338328e-10,"DUSP16","80824","dual specificity phosphatase 16"
"ENSG00000186638",49.726846386096,-1.86830950518494,0.283688503952345,-6.58577798943444,4.52509567255979e-11,1.77345295730124e-10,"KIF24","347240","kinesin family member 24"
"ENSG00000176845",711.141201929734,0.48502178510914,0.0736537113781241,6.58516422368903,4.54382870754179e-11,1.78026940688997e-10,"METRNL","284207","meteorin like, glial cell differentiation regulator"
"ENSG00000146122",260.765345325811,-0.802060302504382,0.121821946453362,-6.58387364391229,4.58346695003289e-11,1.79527006872123e-10,"DAAM2","23500","dishevelled associated activator of morphogenesis 2"
"ENSG00000189043",1548.36703913543,-0.397232394850939,0.0603376173224004,-6.58349488227912,4.5951641264097e-11,1.79897801268445e-10,"NDUFA4","4697","NDUFA4 mitochondrial complex associated"
"ENSG00000178966",121.802535149107,-1.07193593521975,0.162822098801421,-6.58347941164354,4.59564252148647e-11,1.79897801268445e-10,"RMI1","80010","RecQ mediated genome instability 1"
"ENSG00000203780",40.5975573621356,2.00328929104921,0.304325022754431,6.58272945457306,4.61889180605714e-11,1.80754628662495e-10,"FANK1","92565","fibronectin type III and ankyrin repeat domains 1"
"ENSG00000182307",729.50595229475,0.475194089606248,0.0721951869172863,6.58207437222478,4.63929402412363e-11,1.81499567683093e-10,"C8orf33","65265","chromosome 8 open reading frame 33"
"ENSG00000038358",854.661282025784,-0.452017192366072,0.0686757970096801,-6.58189947620643,4.64475597006888e-11,1.81659743210998e-10,"EDC4","23644","enhancer of mRNA decapping 4"
"ENSG00000131759",483.079706715633,0.579638191360039,0.0880825717388185,6.5806229304791,4.68481306499186e-11,1.83172467262943e-10,"RARA","5914","retinoic acid receptor alpha"
"ENSG00000187240",592.193045375159,0.564165167336887,0.0857935616457811,6.57584504611401,4.83776160480829e-11,1.89096967731206e-10,"DYNC2H1","79659","dynein cytoplasmic 2 heavy chain 1"
"ENSG00000155229",1163.73836868643,-0.396128603627097,0.0602441229054219,-6.57539000524558,4.85258051482987e-11,1.89620401288527e-10,"MMS19","64210","MMS19 homolog, cytosolic iron-sulfur assembly component"
"ENSG00000164096",1930.21255775193,0.362466120180641,0.0551332585457929,6.57436418127874,4.88615069862217e-11,1.90876039938529e-10,"C4orf3","401152","chromosome 4 open reading frame 3"
"ENSG00000117305",264.870988922871,-0.787846835743787,0.119868490259524,-6.57259329818904,4.94463843852049e-11,1.93104050986266e-10,"HMGCL","3155","3-hydroxy-3-methylglutaryl-CoA lyase"
"ENSG00000099804",1088.40256392802,0.439914271286771,0.0669380954193705,6.57195679875094,4.96582726484143e-11,1.93874537717883e-10,"CDC34","997","cell division cycle 34, ubiqiutin conjugating enzyme"
"ENSG00000100994",4479.92050862876,-0.315275284385982,0.0479904120685174,-6.56954734907993,5.04684449360158e-11,1.96979690167547e-10,"PYGB","5834","glycogen phosphorylase B"
"ENSG00000168961",49.6223965944453,1.78553153357596,0.271846631374958,6.56815765766535,5.09415905854784e-11,1.9876798065697e-10,"LGALS9","3965","galectin 9"
"ENSG00000149636",157.765897787442,-0.970575162135751,0.147813988475679,-6.56619290328835,5.16179388959706e-11,2.01332100942888e-10,"DSN1","79980","DSN1 component of MIS12 kinetochore complex"
"ENSG00000003056",1442.82828815978,0.39631619980388,0.0603573702929046,6.56616081649386,5.16290570555246e-11,2.01332100942888e-10,"M6PR","4074","mannose-6-phosphate receptor, cation dependent"
"ENSG00000140199",591.779242646622,0.517925969761121,0.0789187898893143,6.56277130563617,5.28168214991476e-11,2.05903440901579e-10,"SLC12A6","9990","solute carrier family 12 member 6"
"ENSG00000130584",262.910326227001,0.785863151607816,0.11975543196511,6.56223386874652,5.3007591062604e-11,2.0658650953448e-10,"ZBTB46","140685","zinc finger and BTB domain containing 46"
"ENSG00000187764",107.470050277986,1.17828841494998,0.179583401737615,6.56123229401538,5.33649120485309e-11,2.07918087952064e-10,"SEMA4D","10507","semaphorin 4D"
"ENSG00000020922",227.067559523344,-0.827567722811095,0.126172133392937,-6.55903724980069,5.41562746559178e-11,2.10939483865073e-10,"MRE11","4361","MRE11 homolog, double strand break repair nuclease"
"ENSG00000090581",585.213084246973,0.530417462748802,0.0809161396748911,6.55515036777508,5.55858373823689e-11,2.16444178279866e-10,"GNPTG","84572","N-acetylglucosamine-1-phosphate transferase subunit gamma"
"ENSG00000169504",13512.6870375319,-0.273146152152319,0.0416715867546669,-6.55473365486206,5.57412742928304e-11,2.16985816282935e-10,"CLIC4","25932","chloride intracellular channel 4"
"ENSG00000120896",1447.13596562593,-0.420301603535817,0.0641348040601665,-6.55340902174615,5.62382011290089e-11,2.18856076002196e-10,"SORBS3","10174","sorbin and SH3 domain containing 3"
"ENSG00000118689",902.410740794955,-0.443125282365949,0.0676208799248888,-6.55308364603003,5.63609249505209e-11,2.19269421556186e-10,"FOXO3","2309","forkhead box O3"
"ENSG00000147100",1992.83449849884,0.341013311110952,0.0520526141868915,6.55131959149191,5.70308575088723e-11,2.21810790463497e-10,"SLC16A2","6567","solute carrier family 16 member 2"
"ENSG00000136051",1610.41880108665,0.359485670418939,0.0548866043534912,6.54960667822901,5.76888192790369e-11,2.24304126950869e-10,"WASHC4","23325","WASH complex subunit 4"
"ENSG00000135070",406.445875834871,0.612136259930715,0.0934626602906261,6.54952745863697,5.77194279626165e-11,2.24357460403709e-10,"ISCA1","81689","iron-sulfur cluster assembly 1"
"ENSG00000113569",524.307570372824,-0.5425517474152,0.0828505512994732,-6.54855929025846,5.8094792471315e-11,2.25750448684613e-10,"NUP155","9631","nucleoporin 155"
"ENSG00000116717",838.186602524199,-0.441525304929815,0.0674330863784121,-6.54760635531528,5.84665821735377e-11,2.27128734843208e-10,"GADD45A","1647","growth arrest and DNA damage inducible alpha"
"ENSG00000166801",294.937044618661,-0.699392190600369,0.106838892219157,-6.54623214517911,5.90068345219288e-11,2.29160460853877e-10,"FAM111A","63901","FAM111 trypsin like peptidase A"
"ENSG00000113248",47.8099657055007,1.80046889404911,0.275053147508364,6.5458945311446,5.91403083484643e-11,2.2961168532134e-10,"PCDHB15","56121","protocadherin beta 15"
"ENSG00000187601",444.782929436534,0.596587853473129,0.0911532342170884,6.54488958726696,5.95393575081128e-11,2.31093438463692e-10,"MAGEH1","28986","MAGE family member H1"
"ENSG00000118181",3838.06485901159,-0.322034003379578,0.049233880693004,-6.54090229830974,6.11487713861331e-11,2.37270809684668e-10,"RPS25","6230","ribosomal protein S25"
"ENSG00000165943",371.815909372224,0.636418506617172,0.0973747686501878,6.53576399142433,6.32856451036982e-11,2.45490636176203e-10,"MOAP1","64112","modulator of apoptosis 1"
"ENSG00000142227",2398.78116154862,-0.334054409714817,0.0511498590563267,-6.53089599615423,6.53773875862401e-11,2.53530645816187e-10,"EMP3","2014","epithelial membrane protein 3"
"ENSG00000174456",124.083176752499,1.05723687069522,0.161895986604415,6.53034638393182,6.56177580720559e-11,2.54388518013149e-10,"C12orf76","400073","chromosome 12 open reading frame 76"
"ENSG00000100359",750.051837660864,-0.467658946688541,0.0716139872610373,-6.53027382742839,6.56495548534726e-11,2.54437521903654e-10,"SGSM3","27352","small G protein signaling modulator 3"
"ENSG00000106415",298.134779296654,0.696489687789028,0.106669587719295,6.52941201593341,6.60283850390076e-11,2.55831099792327e-10,"GLCCI1","113263","glucocorticoid induced 1"
"ENSG00000141564",1163.81976683223,0.413695071699883,0.0634086317200507,6.52427059972447,6.83332455122745e-11,2.64684213150782e-10,"RPTOR","57521","regulatory associated protein of MTOR complex 1"
"ENSG00000069329",2597.96522706385,0.310603025749494,0.0476163395210274,6.52303450609285,6.88990039526877e-11,2.66797833964898e-10,"VPS35","55737","VPS35 retromer complex component"
"ENSG00000170323",20.5714781102005,-3.46097171790806,0.530791944914757,-6.520392313911,7.01237366437673e-11,2.71461227077388e-10,"FABP4","2167","fatty acid binding protein 4"
"ENSG00000103415",714.171669012239,-0.474958066957132,0.072855897907884,-6.5191436876895,7.0709894417426e-11,2.73650587894013e-10,"HMOX2","3163","heme oxygenase 2"
"ENSG00000145868",638.019677425102,0.49061580655209,0.075264365065519,6.51856700212644,7.09822299065013e-11,2.74624520133455e-10,"FBXO38","81545","F-box protein 38"
"ENSG00000101945",73.4562561617135,-1.43511993503475,0.220176418501533,-6.51804559635329,7.12293427337378e-11,2.75500329117503e-10,"SUV39H1","6839","SUV39H1 histone lysine methyltransferase"
"ENSG00000066697",1064.16342544396,-0.419099984792239,0.0643135912555508,-6.51650726713332,7.19633248872464e-11,2.78258189564019e-10,"MSANTD3","91283","Myb/SANT DNA binding domain containing 3"
"ENSG00000180447",34.3814617021672,-2.21037744569596,0.339580302132408,-6.50914505881466,7.55797125181212e-11,2.92156502230991e-10,"GAS1","2619","growth arrest specific 1"
"ENSG00000165688",1216.73474443707,-0.395162099734149,0.060758602142137,-6.50380498895807,7.83134062572823e-11,3.02635630465296e-10,"PMPCA","23203","peptidase, mitochondrial processing subunit alpha"
"ENSG00000100100",512.508270025189,0.5785837965113,0.0889634714001863,6.50361083493071,7.84145980897443e-11,3.02938537471781e-10,"PIK3IP1","113791","phosphoinositide-3-kinase interacting protein 1"
"ENSG00000141756",9437.12694748274,-0.259030155119057,0.0398514806167213,-6.4998878613903,8.03799055762264e-11,3.10440798448223e-10,"FKBP10","60681","FKBP prolyl isomerase 10"
"ENSG00000203668",371.745425817998,-0.66186222768366,0.101853761958026,-6.49816182495462,8.13073200961727e-11,3.13931344627141e-10,"CHML","1122","CHM like Rab escort protein"
"ENSG00000100246",171.705176165247,0.892671109350675,0.137415413129288,6.49614980606872,8.24016073364898e-11,3.18063978100336e-10,"DNAL4","10126","dynein axonemal light chain 4"
